Date,Open,High,Low,Close,Market Cap
7-Aug-15,2.83,3.54,2.52,2.77,"166,610,555"
8-Aug-15,2.79,2.8,0.714725,0.753325,"45,486,894"
9-Aug-15,0.706136,0.87981,0.629191,0.701897,"42,399,573"
10-Aug-15,0.713989,0.729854,0.636546,0.708448,"42,818,364"
11-Aug-15,0.708087,1.13,0.663235,1.07,"64,569,288"
12-Aug-15,1.06,1.29,0.883608,1.22,"73,645,011"
13-Aug-15,1.22,1.97,1.17,1.83,"110,607,192"
14-Aug-15,1.81,2.26,1.75,1.83,"110,672,322"
15-Aug-15,1.8,1.88,1.57,1.69,"102,303,608"
16-Aug-15,1.68,1.7,1.09,1.57,"94,901,005"
17-Aug-15,1.58,1.58,1.19,1.2,"87,295,367"
18-Aug-15,1.22,1.33,1.09,1.09,"78,868,413"
19-Aug-15,1.17,1.32,1.17,1.26,"91,366,391"
20-Aug-15,1.25,1.53,1.25,1.46,"106,351,420"
21-Aug-15,1.48,1.56,1.35,1.4,"101,331,856"
22-Aug-15,1.4,1.48,1.35,1.38,"100,201,826"
23-Aug-15,1.38,1.41,1.3,1.35,"98,300,351"
24-Aug-15,1.35,1.36,1.23,1.23,"89,515,257"
25-Aug-15,1.23,1.24,1.13,1.14,"82,922,633"
26-Aug-15,1.13,1.2,1.06,1.16,"84,390,924"
27-Aug-15,1.17,1.19,1.14,1.15,"83,524,585"
28-Aug-15,1.15,1.21,1.12,1.19,"86,731,077"
29-Aug-15,1.19,1.21,1.15,1.18,"86,113,895"
30-Aug-15,1.18,1.37,1.17,1.32,"96,097,349"
31-Aug-15,1.32,1.4,1.2,1.36,"98,963,975"
1-Sep-15,1.35,1.39,1.34,1.35,"98,507,500"
2-Sep-15,1.35,1.35,1.26,1.29,"94,389,544"
3-Sep-15,1.3,1.31,1.21,1.26,"92,234,142"
4-Sep-15,1.26,1.3,1.24,1.27,"92,953,701"
5-Sep-15,1.28,1.34,1.27,1.34,"97,683,883"
6-Sep-15,1.34,1.37,1.29,1.3,"94,580,164"
7-Sep-15,1.3,1.31,1.24,1.25,"91,020,735"
8-Sep-15,1.25,1.28,1.23,1.24,"90,743,242"
9-Sep-15,1.24,1.26,1.2,1.21,"88,150,125"
10-Sep-15,1.21,1.22,1.14,1.17,"85,202,732"
11-Sep-15,1.16,1.17,0.940675,0.982978,"71,868,265"
12-Sep-15,0.987228,1.11,0.96978,1.04,"75,971,273"
13-Sep-15,1.04,1.04,0.902832,0.936003,"68,480,587"
14-Sep-15,0.940566,0.949387,0.87176,0.875622,"64,084,135"
15-Sep-15,0.875189,1.05,0.875189,0.94441,"69,141,409"
16-Sep-15,0.941977,0.952698,0.901639,0.907175,"66,437,873"
17-Sep-15,0.906865,0.909204,0.831132,0.874231,"64,046,216"
18-Sep-15,0.874574,0.888102,0.833908,0.853685,"62,561,883"
19-Sep-15,0.849603,0.911883,0.833784,0.882391,"64,687,992"
20-Sep-15,0.881191,0.947741,0.873205,0.938445,"68,822,183"
21-Sep-15,0.941496,0.957326,0.878301,0.919047,"67,422,915"
22-Sep-15,0.919337,0.919337,0.865225,0.901796,"66,180,153"
23-Sep-15,0.90356,0.90891,0.885136,0.893406,"65,587,499"
24-Sep-15,0.896796,0.908571,0.79346,0.81361,"59,749,888"
25-Sep-15,0.820031,0.825665,0.712745,0.736223,"54,085,581"
26-Sep-15,0.73763,0.787544,0.709328,0.785964,"57,759,115"
27-Sep-15,0.791277,0.791277,0.719169,0.720839,"52,990,396"
28-Sep-15,0.723715,0.725677,0.557062,0.582886,"42,863,006"
29-Sep-15,0.579414,0.67583,0.558346,0.661146,"48,633,259"
30-Sep-15,0.661192,0.746722,0.635861,0.738644,"54,351,468"
1-Oct-15,0.734307,0.734307,0.655906,0.690215,"50,805,919"
2-Oct-15,0.683732,0.69112,0.654605,0.678574,"49,966,502"
3-Oct-15,0.678783,0.709204,0.675482,0.687171,"50,616,972"
4-Oct-15,0.686343,0.693126,0.660716,0.668379,"49,249,083"
5-Oct-15,0.666784,0.674438,0.62445,0.628643,"46,336,892"
6-Oct-15,0.622218,0.653944,0.60623,0.650645,"47,974,298"
7-Oct-15,0.650515,0.656301,0.602423,0.609388,"44,947,527"
8-Oct-15,0.609501,0.633138,0.591971,0.621716,"45,872,837"
9-Oct-15,0.655084,0.692296,0.632116,0.650628,"48,022,036"
10-Oct-15,0.641187,0.649022,0.624374,0.627857,"46,356,711"
11-Oct-15,0.627461,0.639506,0.618335,0.634963,"46,897,253"
12-Oct-15,0.634515,0.657789,0.62603,0.62603,"46,253,823"
13-Oct-15,0.627943,0.63024,0.599214,0.607655,"44,911,718"
14-Oct-15,0.61224,0.61224,0.483974,0.522968,"38,665,409"
15-Oct-15,0.523278,0.572714,0.51473,0.561878,"41,556,025"
16-Oct-15,0.562593,0.568861,0.522533,0.536495,"39,691,829"
17-Oct-15,0.534117,0.56346,0.526961,0.547178,"40,496,031"
18-Oct-15,0.547913,0.552234,0.512861,0.517734,"38,329,702"
19-Oct-15,0.517621,0.521546,0.480994,0.489014,"36,215,624"
20-Oct-15,0.489629,0.501898,0.431648,0.434829,"32,213,626"
21-Oct-15,0.431589,0.482988,0.420897,0.447329,"33,150,826"
22-Oct-15,0.444988,0.619466,0.420991,0.567702,"42,085,192"
23-Oct-15,0.56637,0.611743,0.504284,0.539657,"40,020,348"
24-Oct-15,0.539681,0.577396,0.518688,0.56359,"41,809,764"
25-Oct-15,0.563207,0.688192,0.561383,0.616039,"45,716,387"
26-Oct-15,0.619743,0.757517,0.597098,0.731317,"54,289,124"
27-Oct-15,0.70889,0.898172,0.70889,0.869641,"64,580,263"
28-Oct-15,0.870938,1.06,0.807857,1,"74,469,864"
29-Oct-15,1.01,1.21,0.947374,1.21,"89,668,667"
30-Oct-15,1.21,1.35,0.96816,1.04,"77,401,817"
31-Oct-15,1.05,1.06,0.900171,0.916627,"68,163,368"
1-Nov-15,0.920847,1.08,0.899082,1.06,"78,530,263"
2-Nov-15,1.06,1.1,0.953647,0.989789,"73,654,327"
3-Nov-15,0.994568,1.07,0.936615,1.01,"75,434,114"
4-Nov-15,1.01,1.04,0.725665,0.89905,"66,947,930"
5-Nov-15,0.900699,0.991259,0.860382,0.895637,"66,716,645"
6-Nov-15,0.904772,0.989848,0.852929,0.926032,"69,004,595"
7-Nov-15,0.923732,0.943787,0.863539,0.927974,"69,172,171"
8-Nov-15,0.915661,1.03,0.915661,1.03,"76,614,488"
9-Nov-15,1.03,1.11,0.945263,0.999278,"74,537,426"
10-Nov-15,1,1.05,0.920968,0.934348,"69,717,801"
11-Nov-15,0.941296,0.945278,0.729775,0.791829,"59,103,443"
12-Nov-15,0.796455,0.913919,0.76351,0.895711,"66,880,152"
13-Nov-15,0.907722,0.917309,0.846023,0.904096,"67,529,354"
14-Nov-15,0.905469,0.906113,0.876908,0.888812,"66,410,518"
15-Nov-15,0.891217,0.921516,0.874957,0.906368,"67,745,801"
16-Nov-15,0.906166,0.944732,0.891971,0.928962,"69,458,011"
17-Nov-15,0.924948,1.03,0.905794,1.01,"75,392,162"
18-Nov-15,0.993214,1.01,0.940516,0.993319,"74,320,769"
19-Nov-15,0.988713,1.01,0.937498,0.955532,"71,517,342"
20-Nov-15,0.955735,0.955735,0.898576,0.92492,"69,247,998"
21-Nov-15,0.928758,0.978743,0.92094,0.97614,"73,107,357"
22-Nov-15,0.979765,0.984132,0.958982,0.968018,"72,523,507"
23-Nov-15,0.967493,0.969057,0.93387,0.946969,"70,970,606"
24-Nov-15,0.946442,0.948055,0.895931,0.900191,"67,487,356"
25-Nov-15,0.893827,0.899493,0.851106,0.863537,"64,760,707"
26-Nov-15,0.863273,0.903643,0.80436,0.884183,"66,330,892"
27-Nov-15,0.8821,0.900051,0.860695,0.867951,"65,135,635"
28-Nov-15,0.868102,0.929293,0.862122,0.915703,"68,742,122"
29-Nov-15,0.914144,0.914153,0.860533,0.878614,"65,980,042"
30-Nov-15,0.879951,0.895054,0.847696,0.873119,"65,589,555"
1-Dec-15,0.878316,0.886736,0.853937,0.8748,"65,738,067"
2-Dec-15,0.873171,0.878017,0.818924,0.82121,"61,730,775"
3-Dec-15,0.818546,0.837664,0.785086,0.812143,"61,070,307"
4-Dec-15,0.812082,0.859575,0.802373,0.840041,"63,189,182"
5-Dec-15,0.841195,0.872821,0.824444,0.862438,"64,895,497"
6-Dec-15,0.866417,0.882436,0.833115,0.8355,"62,889,050"
7-Dec-15,0.836322,0.850791,0.78765,0.811264,"61,084,951"
8-Dec-15,0.806024,0.823645,0.782328,0.822118,"61,922,409"
9-Dec-15,0.824454,0.824454,0.770488,0.792167,"59,687,098"
10-Dec-15,0.79559,0.86159,0.787291,0.840396,"63,342,630"
11-Dec-15,0.839995,0.929762,0.819789,0.929762,"70,101,842"
12-Dec-15,0.931196,1.05,0.928546,0.976973,"73,686,284"
13-Dec-15,0.971538,0.989394,0.937438,0.952884,"71,894,531"
14-Dec-15,0.95662,1.01,0.950178,0.993022,"74,947,760"
15-Dec-15,0.990589,1.03,0.98224,1.01,"76,568,082"
16-Dec-15,1.02,1.02,0.974927,0.991182,"74,858,729"
17-Dec-15,0.993043,0.997611,0.911807,0.940701,"71,069,938"
18-Dec-15,0.938327,0.939493,0.908081,0.920127,"69,538,663"
19-Dec-15,0.921524,0.925874,0.888916,0.908072,"68,650,439"
20-Dec-15,0.90824,0.943185,0.899441,0.903885,"68,356,313"
21-Dec-15,0.906065,0.91739,0.891182,0.900771,"68,143,246"
22-Dec-15,0.894973,0.909526,0.862059,0.864202,"65,398,932"
23-Dec-15,0.861782,0.88294,0.856065,0.858077,"64,957,356"
24-Dec-15,0.859433,0.882818,0.8476,0.863262,"65,371,538"
25-Dec-15,0.861993,0.882556,0.861993,0.870363,"65,931,377"
26-Dec-15,0.870766,0.897453,0.838314,0.854603,"64,758,910"
27-Dec-15,0.853166,0.861538,0.841151,0.856365,"64,913,919"
28-Dec-15,0.856356,0.872394,0.832932,0.845005,"64,074,279"
29-Dec-15,0.843835,0.873054,0.833232,0.873054,"66,222,901"
30-Dec-15,0.874258,0.941099,0.866647,0.911958,"69,196,765"
31-Dec-15,0.912098,0.975414,0.910277,0.933542,"70,858,023"
1-Jan-16,0.933712,0.954822,0.931442,0.948024,"71,980,386"
2-Jan-16,0.947401,0.969637,0.93656,0.937124,"71,176,658"
3-Jan-16,0.93843,0.991362,0.934313,0.971905,"73,843,292"
4-Jan-16,0.972045,0.976438,0.929835,0.95448,"72,543,707"
5-Jan-16,0.953147,0.970597,0.946543,0.950176,"72,240,974"
6-Jan-16,0.950028,0.960659,0.935708,0.95086,"72,317,149"
7-Jan-16,0.955801,0.974623,0.93583,0.942005,"71,667,152"
8-Jan-16,0.942752,0.991825,0.939715,0.986789,"75,099,809"
9-Jan-16,0.985501,0.992345,0.9736,0.986833,"75,128,312"
10-Jan-16,0.985557,1,0.975099,0.999231,"76,097,646"
