Date,Open,High,Low,Close,Market Cap
10/10/2015,245.39,246.3,244.6,246.3,3599300015
10/11/2015,246.3,249.5,246.3,249.5,3615723362
10/12/2015,249.5,249.5,247.6,247.6,3669732639
10/13/2015,247.6,252.87,245.75,250,3623821156
10/14/2015,250,254.75,250,253,3672355581
10/15/2015,253,258.98,253,255.26,3727043505
10/16/2015,255.9,269.98,255.9,263.75,3759463398
10/17/2015,263.75,285,263.14,272.47,3899737630
10/18/2015,272.47,274.89,264.01,268.46,3973130960
10/19/2015,268.46,274.77,265,272.49,3901744739
10/20/2015,272.49,275.99,266.02,272.1,3898266725
10/21/2015,272.1,272.75,269.5,271.64,3983456303
10/22/2015,271.64,279.98,271.23,276.89,4017171512
10/23/2015,276.89,283.95,276.89,280.2,4040603309
10/24/2015,280.2,285,280.19,285,4095927009
10/25/2015,285,297,285,289.38,4158630000
10/26/2015,289.38,296.99,283.99,288.54,4260116131
10/27/2015,288.54,299,288.53,298.2,4330413309
10/28/2015,298.2,309,298.2,307.05,4347592028
10/29/2015,307.05,320.01,261.51,314.89,4464008516
10/30/2015,314.89,374,314.89,330.36,4606139763
10/31/2015,330.36,336.69,309.15,315,4823306507
11/1/2015,315,330,299.76,330,4942208876
11/2/2015,330,370,326.1,367.85,4747510862
11/3/2015,367.85,424.62,362.25,400,5144491485
11/4/2015,400,500,365,410,5801110984
11/5/2015,410,450,369.73,379.42,6495523345
11/6/2015,379.42,399.7,354.01,376,5824196883
11/7/2015,376,391.92,374.97,388.13,5516103777
11/8/2015,388.13,389.61,363.47,377,5694982796
11/9/2015,377,386.79,361.43,381.46,5621049416
11/10/2015,381.46,383,236,336.18,5608383071
11/11/2015,336.18,343.75,300,306,5130795209
11/12/2015,306,344.8,300.51,335.5,4657296020
11/13/2015,335.5,348.58,326.6,338.45,4907447864
11/14/2015,338.45,2200,332.92,349.99,4968413632
11/15/2015,349.99,354.99,317.76,318.66,4955059305
11/16/2015,318.66,338.99,315,336.99,4826361903
11/17/2015,336.99,340.24,328.33,334.51,4866522131
11/18/2015,334.51,337.9,330.01,335.99,4981954880
11/19/2015,335.99,335.99,322.34,325.01,4976552817
11/20/2015,325.01,328.3,310,320.51,4891656870
11/21/2015,320.51,328.97,318.28,325.22,4782596218
11/22/2015,325.22,328.75,320.99,324.37,4849116663
11/23/2015,324.37,326.32,320.01,322.75,4818098039
11/24/2015,322.75,324.53,305,317.52,4808558645
11/25/2015,317.52,332,315.21,327.5,4780356832
11/26/2015,327.5,365.37,327.5,360,4997954855
11/27/2015,360,369.04,347.76,360.4,5168263713
11/28/2015,360.4,360.41,352,357,5321459658
11/29/2015,357,380,354.01,368.11,5314643040
11/30/2015,368.11,380.99,367.5,377.29,5462578526
12/1/2015,377.29,379.99,355.01,363.01,5573302958
12/2/2015,363.01,364.03,349,361.18,5434587060
12/3/2015,361.18,369.99,358,361.5,5341964269
12/4/2015,361.5,364.48,356,362.03,5402746208
12/5/2015,362.03,389.9,361.53,385.82,5402043165
12/6/2015,385.82,403.33,385.82,395.5,5792521384
12/7/2015,395.5,400,385.01,398.62,5865564650
12/8/2015,398.62,412.13,390.84,412.13,5891345742
