"Date","Open","High","Low","Close"
"1/1/2019 0:00","130.8","131.7","130","131.1"
"1/1/2019 1:00","131.1","131.1","128.72","130.98"
"1/1/2019 2:00","130.98","130.98","129.25","129.79"
"1/1/2019 3:00","129.79","131","129.79","130.83"
"1/1/2019 4:00","130.83","133.75","130.83","132.09"
"1/1/2019 5:00","132.09","132.53","132.09","132.28"
"1/1/2019 6:00","132.28","133.86","132.28","133.21"
"1/1/2019 7:00","133.21","134","133","133.54"
"1/1/2019 8:00","133.54","135.15","133.24","135"
"1/1/2019 9:00","135","135","133.33","133.62"
"1/1/2019 10:00","133.62","133.83","133.62","133.79"
"1/1/2019 11:00","133.79","134.7","133.51","133.98"
"1/1/2019 12:00","133.98","134.28","133.23","134.28"
"1/1/2019 13:00","134.28","135.26","133.85","134.4"
"1/1/2019 14:00","134.4","134.4","131.01","133.46"
"1/1/2019 15:00","133.46","134.18","131.05","131.05"
"1/1/2019 16:00","131.05","133.32","131.05","133.25"
"1/1/2019 17:00","133.25","133.42","132.71","132.71"
"1/1/2019 18:00","132.71","132.71","129.77","131.73"
"1/1/2019 19:00","131.73","136.45","131.73","135.51"
"1/1/2019 20:00","135.51","140.87","135.51","138.2"
"1/1/2019 21:00","138.2","138.97","137.82","137.83"
"1/1/2019 22:00","137.83","138.18","136.2","138.13"
"1/1/2019 23:00","138.13","140.92","137.54","139.48"
"1/2/2019 0:00","139.48","140.62","139","139.91"
"1/2/2019 1:00","139.91","139.98","138.78","139.07"
"1/2/2019 2:00","139.07","139.29","138.81","139.15"
"1/2/2019 3:00","139.15","139.8","139.02","139.17"
"1/2/2019 4:00","139.17","140.4","139.01","140.17"
"1/2/2019 5:00","140.17","140.18","139.57","139.72"
"1/2/2019 6:00","139.72","140.07","139.31","139.66"
"1/2/2019 7:00","139.66","144.69","139.66","144.33"
"1/2/2019 8:00","144.33","147.01","144.33","145.53"
"1/2/2019 9:00","145.53","146.34","144.62","145.18"
"1/2/2019 10:00","145.18","149.88","145.18","148.94"
"1/2/2019 11:00","148.94","150","147.69","148.65"
"1/2/2019 12:00","148.65","148.8","147.08","148.48"
"1/2/2019 13:00","148.48","152.63","148.48","152.22"
"1/2/2019 14:00","152.22","152.61","149.48","151.06"
"1/2/2019 15:00","151.06","151.12","147.49","148.9"
"1/2/2019 16:00","148.9","153.57","148.46","150.72"
"1/2/2019 17:00","150.72","152","149","150.13"
"1/2/2019 18:00","150.13","150.29","148.45","149.71"
"1/2/2019 19:00","149.71","151.51","149.11","151.07"
"1/2/2019 20:00","151.07","152.25","150.09","151.93"
"1/2/2019 21:00","151.93","155.99","151.33","154.76"
"1/2/2019 22:00","154.76","155.27","153.52","154.87"
"1/2/2019 23:00","154.87","156.83","152.6","153.57"
"1/3/2019 0:00","153.57","154.21","150.56","150.71"
"1/3/2019 1:00","150.71","152.75","150.7","152.27"
"1/3/2019 2:00","152.27","153.43","151.48","152.13"
"1/3/2019 3:00","152.13","152.78","151.7","152.7"
"1/3/2019 4:00","152.7","154.39","152.37","153.27"
"1/3/2019 5:00","153.27","154.25","151.69","152.93"
"1/3/2019 6:00","152.93","153.35","152.35","153.06"
"1/3/2019 7:00","153.06","153.06","152.42","152.65"
"1/3/2019 8:00","152.65","152.65","148.66","149.23"
"1/3/2019 9:00","149.23","149.75","147.27","147.83"
"1/3/2019 10:00","147.83","149.76","147.83","149.4"
"1/3/2019 11:00","149.4","149.4","146.12","147.61"
"1/3/2019 12:00","147.61","150.01","147.48","149.52"
"1/3/2019 13:00","149.52","150.07","148.51","149.45"
"1/3/2019 14:00","149.45","149.72","147.94","148.03"
"1/3/2019 15:00","148.03","149.47","147.55","149.16"
"1/3/2019 16:00","149.16","149.44","144.78","145.34"
"1/3/2019 17:00","145.34","146.56","144.48","146.02"
"1/3/2019 18:00","146.02","146.08","144.62","145.48"
"1/3/2019 19:00","145.48","146.51","145.48","146.37"
"1/3/2019 20:00","146.37","148.72","146.37","148.62"
"1/3/2019 21:00","148.62","148.62","147.03","148.19"
"1/3/2019 22:00","148.19","148.63","146.84","148.63"
"1/3/2019 23:00","148.63","148.91","146.47","147.07"
"1/4/2019 0:00","147.07","147.16","145.11","146.82"
"1/4/2019 1:00","146.82","148.82","146.8","148.4"
"1/4/2019 2:00","148.4","148.4","146.98","147.58"
"1/4/2019 3:00","147.58","151.52","147.19","151.52"
"1/4/2019 4:00","151.52","152.42","150.43","152.27"
"1/4/2019 5:00","152.27","154.46","151.11","153.55"
"1/4/2019 6:00","153.55","155.31","153.39","154.03"
"1/4/2019 7:00","154.03","155.46","153.64","153.99"
"1/4/2019 8:00","153.99","154.33","151.73","151.76"
"1/4/2019 9:00","151.76","152.04","150","150.57"
"1/4/2019 10:00","150.57","152.64","150.35","152.64"
"1/4/2019 11:00","152.64","152.74","150.7","150.7"
"1/4/2019 12:00","150.7","151.16","149.78","151.11"
"1/4/2019 13:00","151.11","151.58","149","150.8"
"1/4/2019 14:00","150.8","151.48","146.22","147.36"
"1/4/2019 15:00","147.36","148.08","145.74","148.03"
"1/4/2019 16:00","148.03","149.33","146.88","148.77"
"1/4/2019 17:00","148.77","149.41","147.48","148.35"
"1/4/2019 18:00","148.35","148.78","147.68","148.23"
"1/4/2019 19:00","148.23","149.31","147.72","149.3"
"1/4/2019 20:00","149.3","152.48","148.37","152.04"
"1/4/2019 21:00","152.04","155","151.65","154.25"
"1/4/2019 22:00","154.25","154.99","152.08","153.43"
"1/4/2019 23:00","153.43","154.47","152.75","153.56"
"1/5/2019 0:00","153.56","153.81","153.56","153.81"
"1/5/2019 1:00","153.81","159.1","153.81","159.1"
"1/5/2019 2:00","159.1","160","158.11","159.12"
"1/5/2019 3:00","159.12","160","157.12","158.73"
"1/5/2019 4:00","158.73","160.7","158.27","158.47"
"1/5/2019 5:00","158.47","159.97","158.31","159.52"
"1/5/2019 6:00","159.52","159.52","155.12","156.1"
"1/5/2019 7:00","156.1","156.9","154.73","155.03"
"1/5/2019 8:00","155.03","156.29","154.7","155.86"
"1/5/2019 9:00","155.86","156.34","155.44","156.34"
"1/5/2019 10:00","156.34","156.34","154.28","155.33"
"1/5/2019 11:00","155.33","157.84","155.33","157.41"
"1/5/2019 12:00","157.41","158.98","156.7","156.93"
"1/5/2019 13:00","156.93","156.93","155.3","156.27"
"1/5/2019 14:00","156.27","156.61","155.64","156.23"
"1/5/2019 15:00","156.23","158.5","156.01","156.41"
"1/5/2019 16:00","156.41","157.68","154","155.81"
"1/5/2019 17:00","155.81","156.91","155.79","156.13"
"1/5/2019 18:00","156.13","157.35","156.01","157.13"
"1/5/2019 19:00","157.13","157.75","156","157.38"
"1/5/2019 20:00","157.38","157.7","156.52","156.95"
"1/5/2019 21:00","156.95","157.4","156.88","157.2"
"1/5/2019 22:00","157.2","157.4","152.02","154.5"
"1/5/2019 23:00","154.5","154.5","153.46","153.93"
"1/6/2019 0:00","153.93","154.5","152.74","153.78"
"1/6/2019 1:00","153.78","154.22","149.82","150.03"
"1/6/2019 2:00","150.03","150.56","148.3","150.28"
"1/6/2019 3:00","150.28","151.5","150.04","151.48"
"1/6/2019 4:00","151.48","152.28","150.9","151.69"
"1/6/2019 5:00","151.69","152.2","151.32","151.32"
"1/6/2019 6:00","151.32","151.73","151.19","151.71"
"1/6/2019 7:00","151.71","151.71","150.53","150.97"
"1/6/2019 8:00","150.97","151.01","150.38","151.01"
"1/6/2019 9:00","151.01","152.73","151.01","151.47"
